
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        69.72       1.05  3.175E-008  4.554E-008 4.535E-009 6.505E-009
347      8.379      1.164     0.3466      4.136    0.3468     4.138
348      8.379      1.164     0.3466      4.136    0.3468     4.138
349      8.379      1.164     0.3466      4.136    0.3468     4.138
352      8.379      1.164     0.3466      4.136    0.3468     4.138
356      8.379      1.164     0.3466      4.136    0.3468     4.138
358      8.379      1.164     0.3466      4.136    0.3468     4.138
359      8.379      1.164     0.3466      4.136    0.3468     4.138
361      8.379      1.164     0.3466      4.136    0.3468     4.138
367      8.379      1.164     0.3466      4.136    0.3468     4.138
371      8.379      1.164     0.3466      4.136    0.3468     4.138
372      8.379      1.164     0.3466      4.136    0.3468     4.138
373      8.379      1.164     0.3466      4.136    0.3468     4.138
380      8.379      1.164     0.3466      4.136    0.3468     4.138
381      8.379      1.164     0.3466      4.136    0.3468     4.138
384      8.379      1.164     0.3466      4.136    0.3468     4.138
392      8.379      1.164     0.3466      4.136    0.3468     4.138
395      8.379      1.164     0.3466      4.136    0.3468     4.138
399      8.379      1.164     0.3466      4.136    0.3468     4.138
404      8.379      1.164     0.3466      4.136    0.3468     4.138
406      8.379      1.164     0.3466      4.136    0.3468     4.138
412      8.379      1.164     0.3466      4.136    0.3468     4.138
416      8.379      1.164     0.3466      4.136    0.3468     4.138
419      8.379      1.164     0.3466      4.136    0.3468     4.138
435      8.379      1.164     0.3466      4.136    0.3468     4.138
443      8.379      1.164     0.3466      4.136    0.3468     4.138
452      8.379      1.164     0.3466      4.136    0.3468     4.138
459      8.379      1.164     0.3466      4.136    0.3468     4.138
469      8.379      1.164     0.3466      4.136    0.3468     4.138
478      8.379      1.164     0.3466      4.136    0.3468     4.138
483      8.379      1.164     0.3466      4.136    0.3468     4.138
486      8.379      1.164     0.3466      4.136    0.3468     4.138
489      8.379      1.164     0.3466      4.136    0.3468     4.138
494      8.379      1.164     0.3466      4.136    0.3468     4.138
501      8.379      1.164     0.3466      4.136    0.3468     4.138
502      8.379      1.164     0.3466      4.136    0.3468     4.138
504      8.379      1.164     0.3466      4.136    0.3468     4.138
508      8.379      1.164     0.3466      4.136    0.3468     4.138
515      8.379      1.164     0.3466      4.136    0.3468     4.138
523      8.379      1.164     0.3466      4.136    0.3468     4.138
526      8.379      1.164     0.3466      4.136    0.3468     4.138
531      8.379      1.164     0.3466      4.136    0.3468     4.138
539      8.379      1.164     0.3466      4.136    0.3468     4.138
543      8.379      1.164     0.3466      4.136    0.3468     4.138
550      8.379      1.164     0.3466      4.136    0.3468     4.138
551      8.379      1.164     0.3466      4.136    0.3468     4.138
555      8.379      1.164     0.3466      4.136    0.3468     4.138
556      8.379      1.164     0.3466      4.136    0.3468     4.138
560      8.379      1.164     0.3466      4.136    0.3468     4.138
563      8.379      1.164     0.3466      4.136    0.3468     4.138
564      8.379      1.164     0.3466      4.136    0.3468     4.138
566      8.379      1.164     0.3466      4.136    0.3468     4.138
572      8.379      1.164     0.3466      4.136    0.3468     4.138
578      8.379      1.164     0.3466      4.136    0.3468     4.138
